Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000000-4.in,1000000,356.0
urubu,CPP,STL,O1,cpp/stl_sortO1,100000-1.in,100000,9.0
urubu,CPP,STL,O2,cpp/stl_sortO2,1000000-2.in,1000000,84.0
urubu,D,sort,O0,d/sortgdcO0,1000000-5.in,1000000,284.0
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-5.in,10,0.0
urubu,D,sort,O0,d/sortgdcO0,10000-4.in,10000,1.0
urubu,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000000-3.in,10000000,967.0
urubu,D,sort,O0,d/sortgdcO0,100000-5.in,100000,26.0
urubu,CPP,STL,O1,cpp/stl_sortO1,1000000-4.in,1000000,80.0
urubu,Python,sort,,python/sort.py,1000-4.in,1000,0.0
urubu,Python,sort,,python/sort.py,10-5.in,10,0.0
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000-5.in,10000,3.0
urubu,Python,quicksort,,python/quicksort.py,100000-5.in,100000,437.0
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000-1.in,1000,0.0
urubu,OCaml,heap_sort,,ocaml/heap_sort.native,10000-4.in,10000,8.0
urubu,D,sort,O0,d/sortgdcO0,100-1.in,100,0.0
urubu,D,sort,O3,d/sortgdcO3,100-3.in,100,0.0
urubu,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000-3.in,10000,1.0
urubu,D,sort,O0,d/sortgdcO0,100000-1.in,100000,20.0
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000-4.in,10000,3.0
urubu,D,sort,O0,d/sortgdcO0,100000-2.in,100000,19.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-3.in,1000000,408.0
urubu,Python,sort,,python/sort.py,1000-5.in,1000,0.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,100000-3.in,100000,36.0
urubu,CPP,STL,O0,cpp/stl_sortO0,10000-4.in,10000,5.0
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-3.in,10,0.0
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000-5.in,1000,0.0
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100-5.in,100,0.0
urubu,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000-3.in,1000,0.0
urubu,CPP,STL,O1,cpp/stl_sortO1,10-3.in,10,0.0
