Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,100-3.in,100,0.0
XPSR,D,sort,O0,d/sortgdcO0,10000-1.in,10000,2.0
XPSR,Python,sort,,python/sort.py,10000000-4.in,10000000,7518.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-3.in,10000000,3719.0
XPSR,Python,quicksort,,python/quicksort.py,1000000-1.in,1000000,3752.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000-1.in,1000,0.0
XPSR,CPP,STL,O1,cpp/stl_sortO1,1000-3.in,1000,0.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000-3.in,10000,6.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000000-5.in,1000000,353.0
XPSR,D,sort,O1,d/sortgdcO1,100000-5.in,100000,6.0
XPSR,D,sort,O3,d/sortgdcO3,10-5.in,10,0.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100000-5.in,100000,28.0
XPSR,D,sort,O1,d/sortgdcO1,10000-4.in,10000,0.0
XPSR,Python,quicksort,,python/quicksort.py,100000-3.in,100000,281.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-2.in,1000000,315.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,100-4.in,100,0.0
XPSR,D,sort,O1,d/sortgdcO1,1000-3.in,1000,0.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-4.in,10,0.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100000-5.in,100000,7.0
XPSR,Python,sort,,python/sort.py,10000000-5.in,10000000,7952.0
XPSR,Python,sort,,python/sort.py,10000000-1.in,10000000,7456.0
XPSR,Python,sort,,python/sort.py,1000000-2.in,1000000,569.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,100000-1.in,100000,6.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100000-4.in,100000,8.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000000-5.in,10000000,868.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000-4.in,10000,1.0
XPSR,D,sort,O2,d/sortgdcO2,100000-3.in,100000,6.0
XPSR,D,sort,O1,d/sortgdcO1,10-3.in,10,0.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,100000-2.in,100000,6.0
XPSR,D,sort,O1,d/sortgdcO1,10000-3.in,10000,0.0
XPSR,Python,quicksort,,python/quicksort.py,1000-5.in,1000,1.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-1.in,1000000,319.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10000000-3.in,10000000,6675.0
XPSR,D,sort,O3,d/sortgdcO3,100-1.in,100,0.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,100000-5.in,100000,39.0
XPSR,Python,quicksort,,python/quicksort.py,10-1.in,10,0.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100-1.in,100,0.0
XPSR,D,sort,O3,d/sortgdcO3,1000000-2.in,1000000,74.0
XPSR,Python,quicksort,,python/quicksort.py,10000-5.in,10000,23.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10-1.in,10,0.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100-3.in,100,0.0
XPSR,D,sort,O1,d/sortgdcO1,10-1.in,10,0.0
XPSR,D,sort,O2,d/sortgdcO2,10000-1.in,10000,1.0
XPSR,Python,sort,,python/sort.py,10000-5.in,10000,2.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10000-1.in,10000,4.0
XPSR,Python,quicksort,,python/quicksort.py,10000-3.in,10000,23.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000-4.in,1000,0.0
XPSR,D,sort,O3,d/sortgdcO3,10000000-4.in,10000000,875.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10-5.in,10,0.0
XPSR,Python,quicksort,,python/quicksort.py,100-3.in,100,0.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-5.in,10000000,4027.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,1000-3.in,1000,0.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,10000000-5.in,10000000,4175.0
XPSR,Python,sort,,python/sort.py,100-4.in,100,0.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100000-1.in,100000,6.0
XPSR,CPP,STL,O1,cpp/stl_sortO1,1000000-1.in,1000000,72.0
XPSR,D,sort,O1,d/sortgdcO1,100000-1.in,100000,6.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000000-3.in,1000000,342.0
