Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-5.in,10,0.0013423399999510366
hubert-pc,D,sort,O0,d/sortgdcO0,10-1.in,10,0.0013099689999762631
hubert-pc,D,sort,O3,d/sortgdcO3,100-5.in,100,0.001625506000095811
hubert-pc,D,sort,O3,d/sortgdcO3,10-4.in,10,0.001292247999913343
hubert-pc,D,sort,O1,d/sortgdcO1,100-4.in,100,0.0013799880000533449
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10-1.in,10,0.0012373010000601425
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000000-4.in,10000000,5.177387525999961
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-2.in,10000000,8.56893728600005
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,1000000-2.in,1000000,0.5092291989999467
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000-1.in,10000,0.00675304200001392
hubert-pc,D,sort,O2,d/sortgdcO2,10000-1.in,10000,0.006869645000051605
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,100000-3.in,100000,0.0524131380000199
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,100-2.in,100,0.0013462319999462125
hubert-pc,Python,quicksort,,python/quicksort.py,10000000-4.in,10000000,73.36623327699999
hubert-pc,Python,sort,,python/sort.py,10000000-3.in,10000000,18.294468447999975
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,1000000-2.in,1000000,0.9890116909999733
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,1000-1.in,1000,0.0019055430000207707
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000000-4.in,1000000,0.5623850839999704
hubert-pc,D,sort,O3,d/sortgdcO3,10-5.in,10,0.0014131890000044223
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000000-3.in,1000000,0.7967186359999232
hubert-pc,Python,quicksort,,python/quicksort.py,10-3.in,10,0.022778939999966497
