Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
XPSR,D,sort,O1,d/sortgdcO1,1000-2.in,1000,0.0027073549999840907
XPSR,D,sort,O0,d/sortgdcO0,10-2.in,10,0.0017051620000074763
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,1000-2.in,1000,0.002221919000021444
XPSR,D,sort,O0,d/sortgdcO0,1000000-4.in,1000000,1.0223115999999663
XPSR,D,sort,O2,d/sortgdcO2,10000000-4.in,10000000,6.450323561999994
XPSR,D,sort,O1,d/sortgdcO1,10-5.in,10,0.0016584600000442151
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,100000-2.in,100000,0.09502208700018855
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,1000-5.in,1000,0.0019268829998964065
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100-2.in,100,0.0018121769999197568
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-1.in,10000000,9.710552513000039
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-4.in,10000000,9.719182336999893
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,1000000-1.in,1000000,1.0510940350000055
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100000-4.in,100000,0.10056323999992856
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000000-4.in,1000000,0.6638100120001127
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000000-1.in,10000000,6.844849321999845
XPSR,D,sort,O2,d/sortgdcO2,1000-1.in,1000,0.002537865000022066
XPSR,CPP,STL,O2,cpp/stl_sortO2,1000000-2.in,1000000,0.6287671310001315
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,100000-4.in,100000,0.08291261700014729
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100000-5.in,100000,0.07077473100002862
XPSR,CPP,STL,O2,cpp/stl_sortO2,10-4.in,10,0.0019188039998425666
XPSR,Python,quicksort,,python/quicksort.py,100000-3.in,100000,0.5169271160000335
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100-4.in,100,0.0020300489998135163
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10-4.in,10,0.0011649420000594546
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000-3.in,1000,0.002550064999923052
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,1000-1.in,1000,0.0022831530000075873
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10-1.in,10,0.0019009840000308031
XPSR,Python,sort,,python/sort.py,1000000-5.in,1000000,1.6307087220000085
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000-1.in,1000,0.0026290860000699467
XPSR,CPP,STL,O1,cpp/stl_sortO1,100000-2.in,100000,0.07370527399984894
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100000-3.in,100000,0.06755744900010541
XPSR,CPP,STL,O3,cpp/stl_sortO3,100000-4.in,100000,0.06642212499991729
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,100000-5.in,100000,0.09230955799989715
XPSR,D,sort,O3,d/sortgdcO3,100000-3.in,100000,0.06730494899989026
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000000-5.in,1000000,0.6373336259998723
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100000-4.in,100000,0.06991363700012698
XPSR,D,sort,O3,d/sortgdcO3,100000-5.in,100000,0.06714938899995104
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-5.in,1000000,0.845632931999944
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000-2.in,1000,0.003897213000072952
